id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
410900,濮阳市,410900,0.012444444444444445,0.04222222222222223,0.005,0.11,0.11,0.06,0.0,0.0,0.0
411000,许昌市,411000,0.05622222222222223,0.15555555555555556,0.031388888888888904,0.2,0.2,0.11,0.0,0.11,0.0
411100,漯河市,411100,0.07777777777777774,0.18555555555555556,0.050833333333333355,0.22,0.22,0.13,0.0,0.13,0.0
411200,三门峡市,411200,0.024000000000000007,0.0,0.03000000000000001,0.09,0.0,0.09,0.0,0.0,0.0
411300,南阳市,411300,0.4635555555555554,0.7244444444444444,0.39833333333333326,0.82,0.82,0.68,0.19,0.54,0.19
411400,商丘市,411400,0.12599999999999995,0.4033333333333334,0.05666666666666669,0.52,0.52,0.4,0.0,0.33,0.0
411500,信阳市,411500,0.5715555555555556,1.5344444444444445,0.3308333333333333,1.76,1.76,1.06,0.16,1.22,0.16
411600,周口市,411600,0.1337777777777778,0.4588888888888888,0.052500000000000026,0.54,0.54,0.28,0.0,0.35,0.0
411700,驻马店市,411700,0.2002222222222222,0.6455555555555557,0.08888888888888888,0.73,0.73,0.37,0.01,0.44,0.01
420100,武汉市,420100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
420200,黄石市,420200,3.1366666666666663,3.748888888888889,2.9836111111111117,4.21,4.21,3.47,2.56,3.36,2.56
420300,十堰市,420300,3.381111111111111,1.9088888888888889,3.7491666666666665,5.15,2.14,5.15,1.56,1.56,2.21
420500,宜昌市,420500,5.002444444444444,2.76,5.563055555555555,6.36,3.18,6.36,2.26,2.26,3.45
420600,襄阳市,420600,3.6651111111111114,3.876666666666667,3.612222222222222,4.5,4.5,4.4,2.65,3.2,2.65
420700,鄂州市,420700,4.905111111111111,3.8188888888888894,5.176666666666668,7.84,4.39,7.84,3.28,3.28,4.06
420800,荆门市,420800,2.909111111111111,3.4866666666666664,2.7647222222222227,4.19,4.19,3.47,1.67,2.75,1.67
420900,孝感市,420900,16.35422222222222,14.936666666666667,16.70861111111111,20.21,17.67,20.21,12.56,12.56,15.09
421000,荆州市,421000,6.901999999999999,6.72,6.9475,8.73,7.65,8.73,5.13,5.87,5.13
421100,黄冈市,421100,20.24888888888889,14.002222222222223,21.810555555555553,25.57,15.93,25.57,12.28,12.28,16.56
421200,咸宁市,421200,6.656000000000002,4.837777777777777,7.110555555555553,8.04,5.14,8.04,4.48,4.48,5.18
421300,随州市,421300,2.034888888888889,3.443333333333333,1.682777777777778,4.15,4.15,2.52,1.38,2.98,1.38
422800,恩施土家族苗族自治州,422800,5.400000000000001,1.8077777777777777,6.298055555555558,7.45,2.39,7.45,1.54,1.54,2.99
430100,长沙市,430100,0.5044444444444444,0.7266666666666666,0.4488888888888889,1.21,1.13,1.21,0.15,0.38,0.15
430200,株洲市,430200,0.2782222222222222,0.18333333333333332,0.3019444444444445,0.5,0.23,0.5,0.15,0.15,0.18
430300,湘潭市,430300,0.06622222222222221,0.11333333333333334,0.05444444444444445,0.41,0.15,0.41,0.0,0.0,0.0
430400,衡阳市,430400,0.09888888888888887,0.23777777777777778,0.06416666666666668,0.27,0.27,0.12,0.0,0.18,0.0
430500,邵阳市,430500,0.057333333333333326,0.20666666666666667,0.020000000000000004,0.23,0.23,0.1,0.0,0.16,0.0
430600,岳阳市,430600,0.41155555555555545,0.5077777777777778,0.38750000000000007,0.9,0.58,0.9,0.17,0.35,0.17
430700,常德市,430700,0.11177777777777774,0.35555555555555557,0.05083333333333336,0.41,0.41,0.2,0.0,0.23,0.0
430800,张家界市,430800,0.005111111111111111,0.0,0.006388888888888889,0.1,0.0,0.1,0.0,0.0,0.0
430900,益阳市,430900,0.061777777777777765,0.2122222222222222,0.024166666666666677,0.28,0.28,0.17,0.0,0.16,0.0
431000,郴州市,431000,0.032444444444444456,0.11222222222222222,0.012500000000000002,0.14,0.14,0.05,0.0,0.1,0.0
431100,永州市,431100,0.03666666666666668,0.1277777777777778,0.013888888888888892,0.15,0.15,0.07,0.0,0.09,0.0
431200,怀化市,431200,0.03377777777777779,0.10222222222222221,0.01666666666666667,0.13,0.13,0.06,0.0,0.07,0.0
431300,娄底市,431300,0.046444444444444434,0.19111111111111106,0.010277777777777776,0.26,0.26,0.09,0.0,0.15,0.0
