id,t2m_mean,t2m_max,t2m_min
150922,267.1136717687074,281.8487916666666,254.03033333333335
150923,267.55565561224483,282.1707916666667,254.57550000000003
150924,268.64077214749534,283.2103333333333,255.69175000000004
150925,269.0628812615956,283.26836363636363,255.92420833333333
150926,268.21336286332706,282.49479166666674,255.12974999999994
150927,267.36655078849714,282.1061666666666,254.12495833333335
150928,267.77480971706876,282.3124166666667,254.3542083333333
150929,267.934233070501,283.5647916666666,254.6545
150981,268.95364803648744,283.34987500000005,256.2315
152201,265.7085408549782,283.31399999999996,251.37137499999992
152202,260.56366218305504,279.5146666666667,243.57775000000004
152221,263.9031435142238,280.0662916666667,248.47358333333332
152222,265.88276561533695,282.32345833333335,250.49195833333332
152223,264.3919636286333,282.16891666666663,250.4110416666667
152224,265.9914923469388,283.06429166666663,250.85762499999998
152502,264.6288251391468,283.8208333333334,248.58416666666665
152522,263.6253280766852,282.56462500000004,247.84270833333338
152523,264.83202705627696,283.6869166666666,250.63
152524,266.6835451839827,284.23808333333335,252.75079166666663
152525,263.2622686301793,283.00875,247.0750833333333
152526,264.5052532081014,283.63870833333334,248.1720416666667
152527,266.69091825139145,281.5077083333333,253.29054166666663
152528,267.1317049319728,283.37391666666673,253.118125
152529,265.9123212739641,282.9317916666667,250.85508333333334
152530,265.16443243661104,282.484375,249.16812500000003
152531,266.3014121830551,281.83458333333334,251.88516666666666
152921,272.44323198824986,286.60381818181827,260.1495
152922,272.4818953308596,286.82890909090906,260.8531666666666
152923,271.9015232297465,288.18281818181816,260.07775
210111,271.0910376082251,285.691125,256.62216666666666
210112,270.7258894557824,285.36470833333334,256.27741666666674
210113,270.2524580241187,285.108,255.64720833333334
210114,270.66800390383423,285.4959583333333,256.11008333333325
210122,271.29936580086587,285.5927083333333,257.06041666666664
210123,269.54929321273966,284.26162500000004,254.83949999999996
210124,269.9084221938775,284.4870416666667,255.3946666666667
210181,270.7519850417442,284.95104166666675,256.394875
210200,273.87821401515146,283.0527916666667,261.0867916666666
210311,271.91271142547924,286.3799583333334,257.57670833333344
210321,271.77764850030906,285.712375,257.87695833333333
210323,271.45779993815705,282.93562499999996,257.12441666666666
210381,272.2469249768089,286.3329166666666,258.04541666666665
210411,270.33904846938776,284.8947083333333,255.501875
210421,270.1782225185528,284.1319583333333,255.35716666666664
210422,268.85670887445895,281.6933333333334,253.56499999999994
210423,268.49954873995046,282.2769583333333,253.0764583333333
210500,269.486452883426,281.59274999999997,254.37974999999997
210603,272.7166520562772,282.52216666666664,260.21295833333335
210624,270.50669163574526,281.3858333333334,256.7180833333333
210681,272.9713105674088,283.35145833333337,260.4700833333333
210682,271.36677110389604,282.6007916666667,257.66795833333333
210700,271.8136376004947,284.69645833333334,258.39733333333334
210800,272.73752187693253,284.698125,259.042
210921,270.6076560760668,284.70362499999993,256.28604166666673
210922,270.0926975108224,284.19166666666666,255.6675416666666
211000,271.43304255565846,285.4873333333333,256.76070833333335
211100,272.49093034941245,284.6044583333334,259.13454166666673
211221,269.90533259894863,284.97208333333333,255.16204166666662
211223,268.4494986858381,284.160875,253.309
211224,268.82600919913415,284.59662499999996,254.1750833333334
211281,269.83691160327766,284.9150416666666,255.4007083333333
